step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
155.0,84,1127.0,4.158671586715867,5.89682043824863,0,14.0,0.5715597721886013,2,8.0,0.5800147436039269,0,8.0,0.9103083335347455,0,3.0,0.7902456755941798,14,534.0,0.13655967837715824,6,28.0,0.20874625151012835,7,74.0,0.3402041626165977,1,8.0,0.7494034029898377,8,96.0,0.2755217004219383,2,38.0,0.4122661833384137,23,1429.0,0.09938138269893484,0,8.0,0.8474229536456463,0,48.0,0.4310486616070041,6,32.0,0.36101913685965353,14,619.0,0.1272051764147464,1,8.0,0.7947199468398856,84,2955.0
160.0,89,946.0,3.4779411764705883,5.771449933735674,2,7.0,0.6394953328225613,6,30.0,0.26040142112557946,2,7.0,0.4794598553747601,0,0.0,0.9178658956242168,20,628.0,0.088414725725088,1,31.0,0.5624116388850978,2,70.0,0.39927412120952227,0,8.0,0.8336598989365619,12,147.0,0.24446567026612837,3,17.0,0.4873877786607601,17,1519.0,0.19973994351180302,0,6.0,0.8948342039937959,3,13.0,0.5791371869018709,7,67.0,0.3881785756130424,13,634.0,0.14756014833551676,1,12.0,0.7432047957156784,89,3196.0
165.0,102,982.0,3.6641791044776117,5.1595580255933085,4,24.0,0.5525106933555096,12,77.0,0.19059993397017563,6,34.0,0.058173428888165166,0,0.0,0.6445890352951034,27,749.0,0.16434812469714008,0,0.0,0.6659984453418406,3,31.0,0.6968623898325975,0,4.0,0.8576220339035768,12,207.0,0.2319211778279567,0,9.0,0.54654133839281,15,1598.0,0.25089459487284244,1,3.0,0.5104644006790631,0,6.0,0.5537180171694804,7,104.0,0.22052597689076273,12,676.0,0.16446849896873397,3,20.0,0.2641895610752981,102,3542.0
170.0,101,998.0,3.629090909090909,4.9455340731333095,0,16.0,0.6494871631587191,7,98.0,0.3045540189329971,0,31.0,0.5866265153186903,4,14.0,0.18920670711619558,29,893.0,0.19555230062909162,0,0.0,0.2847121345630632,1,25.0,0.6733620808963859,0,4.0,0.6313066552373487,6,197.0,0.3034078927531069,0,4.0,0.7531262575753649,16,1664.0,0.19433517008520132,5,18.0,0.3042191538249588,0,0.0,0.7521960844383514,11,154.0,0.2999488280877424,15,731.0,0.1894101154179719,7,49.0,0.40719869861914393,101,3898.0
175.0,98,958.0,3.303448275862069,5.539929741127257,3,8.0,0.6769919522889105,2,56.0,0.618325889746823,0,2.0,0.8787678434996865,1,25.0,0.5682930710034942,27,903.0,0.11057967395736397,0,2.0,0.4237529038563784,3,28.0,0.2666383257981272,3,17.0,0.30690874349525193,2,105.0,0.5765139052538812,0,4.0,0.900550066832148,21,1757.0,0.07512439582708359,5,43.0,0.16602086419352532,1,1.0,0.00018855862198745714,5,145.0,0.44777358839772524,17,680.0,0.23984838123428803,8,93.0,0.45355317578631116,98,3869.0
180.0,92,946.0,3.2286689419795223,5.536856044286131,3,23.0,0.5179598227505772,1,54.0,0.5356629074949056,2,6.0,0.3721714297260905,0,9.0,0.8146440511767363,22,794.0,0.08280018064509359,0,4.0,0.8514596857303285,7,60.0,0.03073081008064573,3,32.0,0.5425083905369047,2,110.0,0.4765991717722405,0,4.0,0.8849203664744839,28,1887.0,0.0097035819725555,0,36.0,0.3144742804888477,1,10.0,0.35022797581784054,1,66.0,0.3893402162280532,14,527.0,0.23472579851865036,8,133.0,0.48134327752728745,92,3755.0
185.0,98,908.0,3.036789297658863,4.967306072536565,0,15.0,0.605993403553544,7,79.0,0.3843484759619224,1,8.0,0.11174793424484594,2,11.0,0.25800338109588933,17,877.0,0.09806742556729747,0,4.0,0.8893146591032848,8,103.0,0.07578213025094806,0,15.0,0.8303776516883515,8,135.0,0.26767232459981477,2,5.0,0.6357613428443516,30,1838.0,0.04274916228346975,0,8.0,0.7540912454306624,1,17.0,0.7914676712623684,2,74.0,0.08283580917228948,12,536.0,0.18208292675591065,8,173.0,0.36143736871340465,98,3898.0
190.0,105,887.0,2.9665551839464883,5.42542942252254,2,7.0,0.6914360611522073,12,131.0,0.21408957614946092,0,2.0,0.4987448436772828,6,35.0,0.4300378645700192,16,935.0,0.21043967251850143,2,7.0,0.5344370020976672,2,83.0,0.5152126903545506,0,4.0,0.670329153312756,13,192.0,0.2248681676340791,1,5.0,0.5652971745664825,22,1512.0,0.1857786636052729,0,8.0,0.8778786204751985,1,22.0,0.8217093600630248,5,92.0,0.23075317310761814,11,584.0,0.1373030089831428,12,223.0,0.02554004107772203,105,3842.0
195.0,91,912.0,3.081081081081081,5.727157249996156,5,24.0,0.5456722310032379,15,203.0,0.20034669072469533,0,0.0,0.9818164046533127,0,30.0,0.6065020026498865,9,875.0,0.28021123247827556,6,33.0,0.2622220575669781,0,13.0,0.7994406598724668,0,4.0,0.8497368757454996,8,183.0,0.2541592921861552,1,9.0,0.6200951783991253,16,1601.0,0.28134754575974635,0,4.0,0.9045181134115691,2,26.0,0.4452972957697361,1,60.0,0.510813428477792,13,641.0,0.08952579967574502,15,295.0,0.19501967633398906,91,4001.0
200.0,98,1049.0,3.4966666666666666,5.318261042442852,5,49.0,0.5080896059526535,15,278.0,0.19278080080429977,0,0.0,0.9526826364928374,2,5.0,0.2819134994954343,9,707.0,0.22854631449902957,6,63.0,0.44388480735709246,2,8.0,0.40880185125272955,0,4.0,0.8797291882933812,2,88.0,0.42432279572641224,1,5.0,0.7402893879598146,14,1666.0,0.22686551979118066,2,7.0,0.4293387260413355,2,12.0,0.13986484388435008,2,20.0,0.640549219929071,21,729.0,0.1456069109771528,15,370.0,0.3070459552311667,98,4011.0
